Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,HIGH_TEMP,LOW_TEMP,AVG_TEMP
2/17/15,60750005,3,11.3,ug/m3 LC,47,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,59,53,56
2/18/15,60750005,3,9.2,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,54,59
2/19/15,60750005,3,11.5,ug/m3 LC,48,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,62,54,58
2/20/15,60750005,3,13.5,ug/m3 LC,54,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,68,54,61
2/21/15,60750005,3,10.3,ug/m3 LC,43,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,49,58
2/22/15,60750005,3,5.9,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,49,57
2/23/15,60750005,3,4.4,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,63,53,58
2/24/15,60750005,3,6.2,ug/m3 LC,26,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,44,55
2/25/15,60750005,3,9.8,ug/m3 LC,41,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,49,57
2/26/15,60750005,3,11.6,ug/m3 LC,48,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,50,58.5
2/27/15,60750005,3,3.6,ug/m3 LC,15,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,62,53,57.5
2/28/15,60750005,3,4.1,ug/m3 LC,17,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,62,50,56
3/1/15,60750005,3,4.7,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,48,56.5
3/2/15,60750005,3,7.6,ug/m3 LC,32,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,50,55.5
3/3/15,60750005,3,7.9,ug/m3 LC,33,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,47,55.5
3/4/15,60750005,3,8.6,ug/m3 LC,36,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,46,56
3/5/15,60750005,3,8.7,ug/m3 LC,36,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,68,47,57.5
3/6/15,60750005,3,10.4,ug/m3 LC,43,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,72,48,60
3/7/15,60750005,3,10.6,ug/m3 LC,44,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,73,48,60.5
3/8/15,60750005,3,11.7,ug/m3 LC,49,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,48,56.5
3/9/15,60750005,3,12.9,ug/m3 LC,53,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,51,58.5
