Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,HIGH_TEMP,LOW_TEMP,AVG_TEMP
2/8/16,60750005,3,10.6,ug/m3 LC,44,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,73,51,62
2/9/16,60750005,3,19.3,ug/m3 LC,66,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,71,49,60
2/10/16,60750005,3,16.5,ug/m3 LC,60,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,50,58.5
2/11/16,60750005,3,14.5,ug/m3 LC,56,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,50,57.5
2/12/16,60750005,3,9.1,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,47,56.5
2/13/16,60750005,3,8.9,ug/m3 LC,37,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,53,59.5
2/14/16,60750005,3,9.3,ug/m3 LC,39,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,50,58.5
2/15/16,60750005,3,5.7,ug/m3 LC,24,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,75,53,64
2/16/16,60750005,3,17,ug/m3 LC,61,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,74,53,63.5
2/17/16,60750005,3,6.7,ug/m3 LC,28,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,69,50,59.5
2/18/16,60750005,3,6.3,ug/m3 LC,26,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,50,55.5
2/19/16,60750005,3,6,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,62,48,55
2/20/16,60750005,3,8.1,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,60,45,52.5
2/21/16,60750005,3,6.5,ug/m3 LC,27,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,45,53
2/22/16,60750005,3,8.1,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,68,48,58
2/23/16,60750005,3,8.2,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,70,48,59
2/24/16,60750005,3,12.5,ug/m3 LC,52,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,48,57.5
2/25/16,60750005,3,17.5,ug/m3 LC,62,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,50,58.5
2/26/16,60750005,3,4.4,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,70,52,61
2/27/16,60750005,3,4.4,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,55,60
2/28/16,60750005,3,7.9,ug/m3 LC,33,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,51,58
2/29/16,60750005,3,10.5,ug/m3 LC,44,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,52,59.5
3/1/16,60750005,3,5.9,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,70,53,61.5
3/2/16,60750005,3,4.7,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,54,60.5
3/3/16,60750005,3,2.7,ug/m3 LC,11,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,58,61
3/4/16,60750005,3,3.1,ug/m3 LC,13,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,60,62
3/5/16,60750005,3,-0.4,ug/m3 LC,0,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,56,60.5
3/6/16,60750005,3,4.9,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,48,54.5
