Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/4/16 23:00,2016,1,4,23,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 0:00,2016,1,5,0,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 1:00,2016,1,5,1,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 2:00,2016,1,5,2,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 3:00,2016,1,5,3,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 4:00,2016,1,5,4,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 5:00,2016,1,5,5,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 6:00,2016,1,5,6,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 7:00,2016,1,5,7,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 8:00,2016,1,5,8,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 9:00,2016,1,5,9,13,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 10:00,2016,1,5,10,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 11:00,2016,1,5,11,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 12:00,2016,1,5,12,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 13:00,2016,1,5,13,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 14:00,2016,1,5,14,15,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 15:00,2016,1,5,15,33,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 16:00,2016,1,5,16,45,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 17:00,2016,1,5,17,54,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 18:00,2016,1,5,18,72,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 19:00,2016,1,5,19,86,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 20:00,2016,1,5,20,91,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 21:00,2016,1,5,21,101,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 22:00,2016,1,5,22,76,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/5/16 23:00,2016,1,5,23,55,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 0:00,2016,1,6,0,97,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 1:00,2016,1,6,1,47,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 2:00,2016,1,6,2,30,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 3:00,2016,1,6,3,37,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 4:00,2016,1,6,4,42,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 5:00,2016,1,6,5,28,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 6:00,2016,1,6,6,17,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 7:00,2016,1,6,7,27,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 8:00,2016,1,6,8,30,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 9:00,2016,1,6,9,40,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 10:00,2016,1,6,10,19,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 11:00,2016,1,6,11,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 12:00,2016,1,6,12,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 13:00,2016,1,6,13,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 14:00,2016,1,6,14,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 15:00,2016,1,6,15,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 16:00,2016,1,6,16,9,µg/m_,1 Hr,Valid
